Removed Pin From Net: NetName=NetC?_1 Pin=C?-1
Removed Member From Class: ClassName=Sheet2 Member=B?
Change component parameters: Designator = "D?" ("D?"); Footprint = "LED_LDQ-M3604RI"; UniqueID = "\ZJQBUUYJ" ("\ZJQBUUYJ")
Add component (AddParameter): Name = "Tolerance"; Value = "Jumper"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k Ohms"; VariantName = "[No Variations]"
Added Component: Designator=R?(RES 0805_2012)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.koaspeer.com/catimages/Products/TLRZ/TLRZ.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/TLRZ2ATTD/9845494"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Metal Element"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200, Current Sense"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.022" (0.55mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "8.02.2024 21:02:39"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "KOA Speer Electronics, Inc."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 170°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "TLRZ2ATTD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "27685"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.08"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "0 Ohms"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "TLRZ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.079" L x 0.049" W (2.00mm x 1.25mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "2019-TLRZ2ATTDCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "Jumper"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10k Ohms"; VariantName = "[No Variations]"
Added Component: Designator=R?(RES 0805_2012)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.koaspeer.com/catimages/Products/TLRZ/TLRZ.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/TLRZ2ATTD/9845494"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Metal Element"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200, Current Sense"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.022" (0.55mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "8.02.2024 21:02:39"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "KOA Speer Electronics, Inc."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 170°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "TLRZ2ATTD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "27685"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.08"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "0 Ohms"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "TLRZ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.079" L x 0.049" W (2.00mm x 1.25mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "2019-TLRZ2ATTDCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "Jumper"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "4k7 Ohms"; VariantName = "[No Variations]"
Added Component: Designator=R?(RES 0805_2012)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.koaspeer.com/catimages/Products/TLRZ/TLRZ.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/TLRZ2ATTD/9845494"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Metal Element"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200, Current Sense"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.022" (0.55mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "8.02.2024 21:02:39"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "KOA Speer Electronics, Inc."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 170°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "TLRZ2ATTD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "27685"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.08"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "0 Ohms"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "TLRZ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.079" L x 0.049" W (2.00mm x 1.25mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "2019-TLRZ2ATTDCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "Jumper"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "4k7 Ohms"; VariantName = "[No Variations]"
Added Component: Designator=R?(RES 0805_2012)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.koaspeer.com/catimages/Products/TLRZ/TLRZ.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/TLRZ2ATTD/9845494"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Metal Element"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Package"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Features"; Value = "Automotive AEC-Q200, Current Sense"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.022" (0.55mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "8.02.2024 21:02:39"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "KOA Speer Electronics, Inc."; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55°C ~ 170°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "0805 (2012 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "TLRZ2ATTD"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "27685"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.08"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "AEC-Q200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "0 Ohms"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "TLRZ"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Size / Dimension"; Value = "0.079" L x 0.049" W (2.00mm x 1.25mm)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "2019-TLRZ2ATTDCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "Jumper"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "4k7 Ohms"; VariantName = "[No Variations]"
Added Component: Designator=S?(SW_FSM8JH)
Add component (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/FSM8JH/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "FSM8JH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/FSM8JH/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=S?(SW_FSM8JH)
Add component (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/FSM8JH/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "FSM8JH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/FSM8JH/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=S?(SW_FSM8JH)
Add component (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/FSM8JH/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "FSM8JH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/FSM8JH/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=S?(SW_FSM8JH)
Add component (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/FSM8JH/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "FSM8JH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/FSM8JH/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=S?(SW_FSM8JH)
Add component (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/FSM8JH/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TE Connectivity"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "FSM8JH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/FSM8JH/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=U?(DHT11)
Add component (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/DHT11/Panasonic/view-part/6618018/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "Panasonic Industrial Automation Sales"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "DHT11"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Purchase-URL"; Value = "https://pricing.snapeda.com/search/part/DHT11/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/DHT11/Panasonic/view-part/6618018/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=Y?(XTAL_ABM3B-8.000MHZ-D2Y-T)
Add component (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/ABM3B-8.000MHZ-D2Y-T/Abracon+LLC/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "Abracon LLC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "ABM3B-8.000MHZ-D2Y-T"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "Package"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Purchase-URL"; Value = "https://pricing.snapeda.com/search/part/ABM3B-8.000MHZ-D2Y-T/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/ABM3B-8.000MHZ-D2Y-T/Abracon+LLC/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-1
Added Pin To Net: NetName=NetC?_1 Pin=C?-1
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=GND Pin=C?-2
Added Pin To Net: NetName=NetC?_1 Pin=D?-1
Added Pin To Net: NetName=GND Pin=J?-2
Added Pin To Net: NetName=GND Pin=J?-2
Added Pin To Net: NetName=GND Pin=R?-1
Added Pin To Net: NetName=GND Pin=R?-1
Added Pin To Net: NetName=GND Pin=R?-1
Added Pin To Net: NetName=NetC?_1 Pin=R?-1
Added Pin To Net: NetName=GND Pin=S?-1
Added Pin To Net: NetName=GND Pin=S?-1
Added Pin To Net: NetName=GND Pin=S?-1
Added Pin To Net: NetName=GND Pin=S?-2
Added Pin To Net: NetName=GND Pin=S?-2
Added Pin To Net: NetName=GND Pin=S?-2
Added Pin To Net: NetName=GND Pin=S?-3
Added Pin To Net: NetName=GND Pin=S?-4
Added Pin To Net: NetName=GND Pin=U?-1
Added Pin To Net: NetName=GND Pin=U?-1
Added Pin To Net: NetName=GND Pin=U?-4
Added Pin To Net: NetName=GND Pin=U?-5
Added Pin To Net: NetName=GND Pin=U?-6
Added Pin To Net: NetName=GND Pin=U?-7
Added Pin To Net: NetName=GND Pin=U?-8
Added Pin To Net: NetName=GND Pin=U?-9
Added Pin To Net: NetName=GND Pin=U?-10
Added Pin To Net: NetName=GND Pin=U?-11
Added Pin To Net: NetName=GND Pin=U?-12
Added Pin To Net: NetName=GND Pin=U?-13
Added Pin To Net: NetName=GND Pin=Y?-2
Added Pin To Net: NetName=GND Pin=Y?-4
Added Pin To Net: NetName=3V3 Pin=C?-2
Added Pin To Net: NetName=3V3 Pin=C?-2
Added Pin To Net: NetName=3V3 Pin=C?-2
Added Pin To Net: NetName=3V3 Pin=C?-2
Added Pin To Net: NetName=3V3 Pin=J?-1
Added Pin To Net: NetName=3V3 Pin=R?-2
Added Pin To Net: NetName=3V3 Pin=R?-2
Added Pin To Net: NetName=3V3 Pin=R?-2
Added Pin To Net: NetName=3V3 Pin=S?-3
Added Pin To Net: NetName=3V3 Pin=S?-4
Added Pin To Net: NetName=3V3 Pin=U-19
Added Pin To Net: NetName=3V3 Pin=U-32
Added Pin To Net: NetName=3V3 Pin=U-48
Added Pin To Net: NetName=3V3 Pin=U-64
Added Pin To Net: NetName=3V3 Pin=U?-2
Added Net: Name=3V3
Added Pin To Net: NetName=5V Pin=C?-1
Added Pin To Net: NetName=5V Pin=C?-1
Added Pin To Net: NetName=5V Pin=C?-1
Added Pin To Net: NetName=5V Pin=C?-1
Added Pin To Net: NetName=5V Pin=C?-1
Added Pin To Net: NetName=5V Pin=C?-2
Added Pin To Net: NetName=5V Pin=D?-1
Added Pin To Net: NetName=5V Pin=J?-1
Added Pin To Net: NetName=5V Pin=R?-2
Added Pin To Net: NetName=5V Pin=R?-2
Added Pin To Net: NetName=5V Pin=R?-2
Added Pin To Net: NetName=5V Pin=R?-2
Added Pin To Net: NetName=5V Pin=R?-2
Added Pin To Net: NetName=5V Pin=U?-1
Added Pin To Net: NetName=5V Pin=U?-1
Added Pin To Net: NetName=5V Pin=U?-16
Added Net: Name=5V
Added Pin To Net: NetName=BOOT0 Pin=R?-2
Added Pin To Net: NetName=BOOT0 Pin=S?-1
Added Pin To Net: NetName=BOOT0 Pin=S?-2
Added Pin To Net: NetName=BOOT0 Pin=U-60
Added Net: Name=BOOT0
Added Pin To Net: NetName=BTN_Dec Pin=S?-3
Added Pin To Net: NetName=BTN_Dec Pin=S?-4
Added Pin To Net: NetName=BTN_Dec Pin=U-42
Added Net: Name=BTN_Dec
Added Pin To Net: NetName=BTN_Enter Pin=S?-3
Added Pin To Net: NetName=BTN_Enter Pin=S?-4
Added Pin To Net: NetName=BTN_Enter Pin=U-43
Added Net: Name=BTN_Enter
Added Pin To Net: NetName=BTN_Inc Pin=S?-3
Added Pin To Net: NetName=BTN_Inc Pin=S?-4
Added Pin To Net: NetName=BTN_Inc Pin=U-41
Added Net: Name=BTN_Inc
Added Pin To Net: NetName=D1_CLK Pin=C?-1
Added Pin To Net: NetName=D1_CLK Pin=R?-1
Added Pin To Net: NetName=D1_CLK Pin=U-4
Added Net: Name=D1_CLK
Added Pin To Net: NetName=D1_DIO Pin=C?-1
Added Pin To Net: NetName=D1_DIO Pin=R?-1
Added Pin To Net: NetName=D1_DIO Pin=U-3
Added Net: Name=D1_DIO
Added Pin To Net: NetName=D2_CLK Pin=C?-1
Added Pin To Net: NetName=D2_CLK Pin=R?-1
Added Pin To Net: NetName=D2_CLK Pin=U-17
Added Pin To Net: NetName=D2_CLK Pin=U?-18
Added Net: Name=D2_CLK
Added Pin To Net: NetName=D2_DIO Pin=C?-1
Added Pin To Net: NetName=D2_DIO Pin=R?-1
Added Pin To Net: NetName=D2_DIO Pin=U-20
Added Pin To Net: NetName=D2_DIO Pin=U?-17
Added Net: Name=D2_DIO
Added Pin To Net: NetName=DHT_Data Pin=R?-1
Added Pin To Net: NetName=DHT_Data Pin=U-29
Added Pin To Net: NetName=DHT_Data Pin=U?-2
Added Net: Name=DHT_Data
Added Pin To Net: NetName=DS_SCL Pin=R?-1
Added Pin To Net: NetName=DS_SCL Pin=U-55
Added Pin To Net: NetName=DS_SCL Pin=U?-16
Added Net: Name=DS_SCL
Added Pin To Net: NetName=DS_SDA Pin=R?-2
Added Pin To Net: NetName=DS_SDA Pin=U-56
Added Net: Name=DS_SDA
Added Pin To Net: NetName=DS_VBAT Pin=J?-1
Added Pin To Net: NetName=DS_VBAT Pin=U?-14
Added Net: Name=DS_VBAT
Added Pin To Net: NetName=GR1_D1 Pin=D?-12
Added Net: Name=GR1_D1
Added Pin To Net: NetName=GR1_D2 Pin=D?-1
Added Pin To Net: NetName=GR1_D2 Pin=U?-15
Added Net: Name=GR1_D2
Added Pin To Net: NetName=GR2_D1 Pin=D?-9
Added Net: Name=GR2_D1
Added Pin To Net: NetName=GR2_D2 Pin=D?-2
Added Pin To Net: NetName=GR2_D2 Pin=U?-14
Added Net: Name=GR2_D2
Added Pin To Net: NetName=GR3_D1 Pin=D?-8
Added Net: Name=GR3_D1
Added Pin To Net: NetName=GR3_D2 Pin=D?-3
Added Pin To Net: NetName=GR3_D2 Pin=U?-13
Added Net: Name=GR3_D2
Added Pin To Net: NetName=GR4_D1 Pin=D?-6
Added Net: Name=GR4_D1
Added Pin To Net: NetName=GR4_D2 Pin=D?-8
Added Pin To Net: NetName=GR4_D2 Pin=D?-9
Added Pin To Net: NetName=GR4_D2 Pin=D?-10
Added Pin To Net: NetName=GR4_D2 Pin=U?-10
Added Pin To Net: NetName=GR4_D2 Pin=U?-11
Added Pin To Net: NetName=GR4_D2 Pin=U?-12
Added Net: Name=GR4_D2
Added Pin To Net: NetName=NetC?_2 Pin=C?-2
Added Pin To Net: NetName=NetC?_2 Pin=U-30
Added Net: Name=NetC?_2
Added Pin To Net: NetName=NetD?_2 Pin=D?-2
Added Pin To Net: NetName=NetD?_2 Pin=R?-2
Added Net: Name=NetD?_2
Add Net: Net with name "NetD?_2" already exists
Added Pin To Net: NetName=NetR?_1 Pin=R?-1
Added Pin To Net: NetName=NetR?_1 Pin=U?-15
Added Net: Name=NetR?_1
Added Pin To Net: NetName=NRST Pin=C?-2
Added Pin To Net: NetName=NRST Pin=R?-1
Added Pin To Net: NetName=NRST Pin=S?-1
Added Pin To Net: NetName=NRST Pin=S?-2
Added Pin To Net: NetName=NRST Pin=U-7
Added Net: Name=NRST
Added Pin To Net: NetName=PA0 Pin=U-14
Added Net: Name=PA0
Added Pin To Net: NetName=PA1 Pin=U-15
Added Net: Name=PA1
Added Pin To Net: NetName=PA2 Pin=U-16
Added Net: Name=PA2
Added Pin To Net: NetName=PA5 Pin=U-21
Added Net: Name=PA5
